日の出七丁目,アールフォーラム,ベイパーク,ベイモール,シンボルロード,明海四丁目,海園の街,潮音の街,高州七丁目,高州四丁目,富岡三丁目,東京
5:15,5:16,5:20,5:21,5:22,5:24,5:26,5:28,5:30,5:31,5:36,5:59
5:40,5:41,5:45,5:46,5:47,5:49,5:51,5:53,5:55,5:56,6:01,6:24
6:05,6:06,6:10,6:11,6:12,6:14,6:16,6:18,6:20,6:21,6:26,6:49
6:25,6:26,6:30,6:31,6:32,6:34,6:36,6:38,6:40,6:41,6:46,7:09
6:46,6:47,6:51,6:52,6:53,6:55,6:57,6:59,7:01,7:02,7:07,7:30
7:01,7:02,7:06,7:07,7:08,7:10,7:12,7:14,7:16,7:17,7:22,7:50
7:16,7:17,7:21,7:22,7:23,7:25,7:27,7:29,7:31,7:32,7:37,8:05
7:32,7:33,7:37,7:38,7:39,7:41,7:43,7:45,7:47,7:48,7:53,8:21
7:45,7:46,7:50,7:51,7:52,7:54,7:56,7:58,8:00,8:01,8:06,8:34
8:01,8:02,8:06,8:07,8:08,8:10,8:12,8:14,8:16,8:17,8:22,8:50
8:16,8:17,8:21,8:22,8:23,8:25,8:27,8:29,8:31,8:32,8:37,9:05
10:41,10:42,10:46,10:47,10:48,10:50,10:52,10:54,10:56,10:57,11:02,11:30
